Target,Uniform,EI,LCB,Confab,N_rot
omegacsd_MRMPYR,0.10614981238913632,0.22974378069716442,0.053011392829591227,0.023122226108212532,3
omegacsd_GEKWAU,0.3415939799438719,0.343427120105261,0.3752815020162468,0.030612418579382683,3
omegapdb_2evc,0.42876364611338746,0.2412021905886834,0.004423395690880786,0.015469580476826904,3
omegacsd_FECPUY,0.14743937588502237,0.38699636459650555,0.0,0.045960514505309635,3
omegacsd_WIDDIW,0.0,0.09293652042698598,0.26246822698172206,0.034985019221288445,3
omegacsd_BBSPRT10,0.3746341471647971,0.12057668885591764,0.3506374070210003,0.10094543514106646,3
omegacsd_HEXYIS,0.06916806524531208,0.07623181467751158,0.03382807002324299,0.25844203571568825,3
omegapdb_2flb,0.2280825304538965,0.0,0.02043780399309362,0.0002543755294126535,3
omegacsd_CANPUC,0.252390408275714,0.3038560572681991,0.3056926983220004,0.05156252319799568,3
omegacsd_CMSMOC,0.31895660339947374,0.12714307904234085,0.054714857329771736,0.35208460158754273,3
