Target,Lowest,Best
omegacsd_DUMTAG,LCB_bayes_4567,Yes
omegacsd_FAVYEG,EI_bayes_321,No
omegacsd_HECHEC,EI_bayes_2345,Yes
omegacsd_SADXIE,EI_bayes_3456,No
astex_1opk,LCB_bayes_3456,No
omegacsd_EHMPYX10,EI_bayes_321,Yes
omegapdb_1g6c,EI_bayes_321,No
omegacsd_LADTOZ,EI_bayes_321,No
omegacsd_PCPTZA,EI_bayes_2345,Yes
omegacsd_FIWLUS,LCB_bayes_4567,Yes
omegacsd_ANTZOA,LCB_bayes_3456,No
omegapdb_1j3f,EI_bayes_4567,Yes
omegacsd_WESFOP,LCB_bayes_1234,No
omegacsd_CPQZOL,LCB_bayes_4567,Yes
omegacsd_YUKKUK,EI_bayes_2345,Yes
omegacsd_DIGSIV,EI_bayes_4567,No
omegapdb_2cbs,LCB_bayes_3456,Yes
omegacsd_AURMIN,EI_bayes_4567,Yes
omegacsd_SOWCOW,LCB_bayes_2345,No
omegacsd_VOXNOL,EI_bayes_2345,Yes
omegapdb_2btr,LCB_bayes_1234,Yes
omegacsd_DAWRAU,LCB_bayes_3456,No
omegacsd_JUBJOF,LCB_bayes_2345,No
omegacsd_EITDZL,EI_bayes_321,Yes
omegacsd_DIZREJ,LCB_bayes_321,Yes
omegacsd_CMXPMB,LCB_bayes_321,Yes
omegacsd_FOMDUG,EI_bayes_4567,Yes
omegapdb_1s8j,LCB_bayes_321,Yes
omegacsd_FEWBAK,EI_bayes_1234,Yes
omegacsd_LETBUH,EI_bayes_4567,Yes
omegapdb_1gja,LCB_bayes_1234,No
omegacsd_CMPEPI,EI_bayes_2345,No
omegacsd_JUHHEZ,EI_bayes_3456,Yes
omegapdb_1o3l,LCB_bayes_1234,Yes
omegapdb_1nnk,LCB_bayes_4567,Yes
omegacsd_VOPDIN,EI_bayes_2345,No
omegacsd_BIBHID,LCB_bayes_1234,No
omegacsd_GEJJUA,EI_bayes_4567,No
omegacsd_YOSMOI,LCB_bayes_4567,Yes
omegapdb_1sa4,LCB_bayes_1234,No
omegacsd_HASCOT,LCB_bayes_2345,Yes
omegacsd_ABVPRO,EI_bayes_4567,Yes
omegacsd_HEVJAT,EI_bayes_321,Yes
omegapdb_1oks,EI_bayes_3456,No
omegacsd_PMPAIN,EI_bayes_1234,No
omegapdb_1rf6,LCB_bayes_3456,No
omegacsd_KACKII,EI_bayes_321,No
