angle1,angle2,mmfff
25,305,165.59204340701805
25,310,202.13362355585346
25,315,277.4171559973872
25,320,437.4370799164727
25,325,767.276852632688
25,330,1344.1523926873097
25,335,1995.5821937594885
25,340,2161.34861847658
25,345,1660.4901638046204
25,350,1022.5052304337967
25,355,601.0268327263008
30,0,264.8252916312514
30,5,210.90541075277991
30,10,178.49080636525397
30,15,157.85384921019
30,20,144.3374918154387
30,25,135.46410277947442
30,30,129.74205947001442
30,35,126.18407703979835
30,40,124.10287533756313
30,45,123.01268214682625
30,50,122.57069526337024
30,55,122.53651289246287
30,60,122.74297193137065
30,65,123.07560256321977
30,70,123.45888276877389
30,75,123.84789035159443
30,80,124.2242209342661
30,85,124.59554837525889
30,90,124.99919396524764
30,95,125.51156767406458
30,100,126.26691006699718
30,105,127.4896178347665
30,110,129.54778410698594
30,115,133.05783318043837
30,120,139.13373964391752
30,125,149.98426361080806
30,130,170.20769610363678
30,135,209.06793711924914
30,140,282.090591537174
30,145,401.948700428368
30,150,540.6497748492249
30,155,602.6629713052895
30,160,529.1823590201861
30,165,393.3803277406798
30,170,282.49104515690243
30,175,215.12730301487883
30,180,177.33305554109614
30,185,155.3802173846439
30,190,141.70067519185454
30,195,132.70411092079263
30,200,126.66414447885028
30,205,122.65011699230965
30,210,120.08359231701056
30,215,118.5699453238067
30,220,117.82840383099725
30,225,117.65223561262297
30,230,117.88293025519738
30,235,118.39503306252307
30,240,119.0880779310094
30,245,119.88249236864577
30,250,120.71797455594124
30,255,121.5541453161329
30,260,122.37415398191237
30,265,123.19285542295714
30,270,124.07239840478861
30,275,125.14930202171317
30,280,126.67868090179469
30,285,129.10848666217584
30,290,133.22396909209837
30,295,140.4687064280614
30,300,153.68150758760618
30,305,178.76566439854292
30,310,228.29226392878985
30,315,328.0660841103412
30,320,522.658741678546
30,325,852.0409954696607
30,330,1243.2399805586806
30,335,1422.5602384946706
30,340,1216.6703131545228
30,345,839.1672870959387
30,350,538.3500106112654
30,355,361.03446016038885
35,0,207.6825759354487
35,5,178.23534979370515
35,10,158.7248877021317
35,15,145.47839623570852
35,20,136.49408404156733
35,25,130.5210454561098
35,30,126.69030884059542
35,35,124.36864493257153
35,40,123.09152100163487
35,45,122.52094175497719
35,50,122.41321410919448
35,55,122.5940287126819
35,60,122.93984040232152
35,65,123.36462008279746
35,70,123.81122682494552
35,75,124.24666177596522
35,80,124.66058517835538
35,85,125.06703905598079
35,90,125.51043139913736
35,95,126.07828533054453
35,100,126.92418505856003
35,105,128.304660039209
35,110,130.64086040348178
35,115,134.64674607366186
35,120,141.62058538006312
35,125,154.03514914627277
35,130,176.44151736023827
35,135,215.8041092667142
35,140,277.42940562237766
35,145,350.5464843837221
35,150,395.8334875113299
35,155,377.68551287696806
35,160,313.65754629354154
35,165,247.5728162511822
35,170,200.38835261713305
35,175,170.82998034478607
35,180,152.36364295987337
35,185,140.26076453080123
35,190,131.98533289899206
35,195,126.24423374931322
35,200,122.31279732704763
35,205,119.7209415001039
35,210,118.13414119523604
35,215,117.30626703671406
35,220,117.05120917585488
35,225,117.22263069432194
35,230,117.70152059553878
35,235,118.38956617977234
35,240,119.20576312506677
35,245,120.08488758502632
35,250,120.97763703786912
35,255,121.8529653792261
35,260,122.703807859276
35,265,123.55835515133107
35,270,124.50015800349898
35,275,125.70127975023387
35,280,127.47541276897789
35,285,130.37136980149606
35,290,135.36570104077447
35,295,144.28544508709865
35,300,160.7122161034176
35,305,191.7783332299135
35,310,251.08708220444578
35,315,360.53224947729376
35,320,539.4373735687004
35,325,759.7129210413085
35,330,900.3564296837358
35,335,846.7531522597427
35,340,655.3371920291871
35,345,463.82804042836983
35,350,332.7847525047481
35,355,254.44264665073584
40,0,176.35978136236255
40,5,158.7259435046799
40,10,146.23670812516406
40,15,137.43452779307057
40,20,131.37081354984548
40,25,127.34293656298739
40,30,124.80476856741146
40,35,123.33420494437267
40,40,122.61141159062805
40,45,122.39796723944198
40,50,122.51814594088414
40,55,122.84349188126464
